country,date,demand,type,source
DE,2018-01-01,59.21,household,bundesnetzagentur
DE,2018-02-01,68.348,household,bundesnetzagentur
DE,2018-03-01,60.481,household,bundesnetzagentur
DE,2018-04-01,21.96,household,bundesnetzagentur
DE,2018-05-01,11.594,household,bundesnetzagentur
DE,2018-06-01,7.83,household,bundesnetzagentur
DE,2018-07-01,6.572,household,bundesnetzagentur
DE,2018-08-01,6.51,household,bundesnetzagentur
DE,2018-09-01,11.64,household,bundesnetzagentur
DE,2018-10-01,27.032,household,bundesnetzagentur
DE,2018-11-01,48.09,household,bundesnetzagentur
DE,2018-12-01,58.094,household,bundesnetzagentur
DE,2019-01-01,71.052,household,bundesnetzagentur
DE,2019-02-01,51.66,household,bundesnetzagentur
DE,2019-03-01,46.035,household,bundesnetzagentur
DE,2019-04-01,28.59,household,bundesnetzagentur
DE,2019-05-01,23.994,household,bundesnetzagentur
DE,2019-06-01,7.47,household,bundesnetzagentur
DE,2019-07-01,7.564,household,bundesnetzagentur
DE,2019-08-01,7.068,household,bundesnetzagentur
DE,2019-09-01,13.17,household,bundesnetzagentur
DE,2019-10-01,27.931,household,bundesnetzagentur
DE,2019-11-01,49.77,household,bundesnetzagentur
DE,2019-12-01,58.776,household,bundesnetzagentur
DE,2020-01-01,61.039,household,bundesnetzagentur
DE,2020-02-01,51.591,household,bundesnetzagentur
DE,2020-03-01,48.577,household,bundesnetzagentur
DE,2020-04-01,24.9,household,bundesnetzagentur
DE,2020-05-01,19.499,household,bundesnetzagentur
DE,2020-06-01,9.84,household,bundesnetzagentur
DE,2020-07-01,8.494,household,bundesnetzagentur
DE,2020-08-01,6.944,household,bundesnetzagentur
DE,2020-09-01,12.42,household,bundesnetzagentur
DE,2020-10-01,31.651,household,bundesnetzagentur
DE,2020-11-01,44.91,household,bundesnetzagentur
DE,2020-12-01,60.481,household,bundesnetzagentur
DE,2021-01-01,70.494,household,bundesnetzagentur
DE,2021-02-01,59.64,household,bundesnetzagentur
DE,2021-03-01,52.421,household,bundesnetzagentur
DE,2021-04-01,41.67,household,bundesnetzagentur
DE,2021-05-01,26.784,household,bundesnetzagentur
DE,2021-06-01,8.1,household,bundesnetzagentur
DE,2021-07-01,7.843,household,bundesnetzagentur
DE,2021-08-01,9.517,household,bundesnetzagentur
DE,2021-09-01,12.33,household,bundesnetzagentur
DE,2021-10-01,31.589,household,bundesnetzagentur
DE,2021-11-01,50.07,household,bundesnetzagentur
DE,2021-12-01,62.992,household,bundesnetzagentur
DE,2022-01-01,63.86,household,bundesnetzagentur
DE,2022-02-01,52.024,household,bundesnetzagentur
DE,2022-03-01,46.035,household,bundesnetzagentur
DE,2022-04-01,33.6,household,bundesnetzagentur
DE,2022-05-01,13.175,household,bundesnetzagentur
DE,2022-06-01,7.98,household,bundesnetzagentur
DE,2022-07-01,6.572,household,bundesnetzagentur
DE,2022-08-01,5.735,household,bundesnetzagentur
DE,2022-09-01,12.15,household,bundesnetzagentur
DE,2022-10-01,18.197,household,bundesnetzagentur
DE,2022-11-01,35.52,household,bundesnetzagentur
DE,2022-12-01,58.001,household,bundesnetzagentur
DE,2023-01-01,52.979,household,bundesnetzagentur
DE,2023-02-01,47.852,household,bundesnetzagentur
DE,2023-03-01,43.679,household,bundesnetzagentur
DE,2023-04-01,31.5,household,bundesnetzagentur
DE,2023-05-01,14.725,household,bundesnetzagentur
DE,2023-06-01,6.72,household,bundesnetzagentur
DE,2023-07-01,6.51,household,bundesnetzagentur
DE,2023-08-01,6.975,household,bundesnetzagentur
DE,2023-09-01,7.29,household,bundesnetzagentur
DE,2023-10-01,20.243,household,bundesnetzagentur
DE,2023-11-01,42.24,household,bundesnetzagentur
DE,2023-12-01,53.506,household,bundesnetzagentur
DE,2024-01-01,63.271,household,bundesnetzagentur
DE,2024-02-01,41.267,household,bundesnetzagentur
DE,2024-03-01,36.797,household,bundesnetzagentur
DE,2024-04-01,26.04,household,bundesnetzagentur
DE,2024-05-01,11.16,household,bundesnetzagentur
DE,2024-06-01,8.88,household,bundesnetzagentur
DE,2024-07-01,6.696,household,bundesnetzagentur
DE,2024-08-01,5.89,household,bundesnetzagentur
DE,2024-09-01,10.59,household,bundesnetzagentur
DE,2024-10-01,23.963,household,bundesnetzagentur
DE,2024-11-01,43.95,household,bundesnetzagentur
DE,2024-12-01,54.622,household,bundesnetzagentur
DE,2025-01-01,61.783,household,bundesnetzagentur
